band,date,venue,city,,,,
Huey Lewis & The News,2/28/1987,Reynolds Coliseum,"Raleigh, NC",,,,
Eric Clapton,3/30/1990,Dean Smith Center,"Chapel Hill, NC",,,,
Paul McCartney,7/20/1990,Carter-Finley Stadium,"Raleigh, NC",,,,
Squeeze,9/20/1991,Walnut Creek,"Raleigh, NC",,,,
Sting,9/20/1991,Walnut Creek,"Raleigh, NC",,,,
Michael Bolton,8/2/1992,Walnut Creek,"Raleigh, NC",,,,
Billy Joel,4/12/1994,Dean Smith Center,"Chapel Hill, NC",,,,
Elton John,4/12/1994,Dean Smith Center,"Chapel Hill, NC",,,,
Steely Dan,8/30/1994,Walnut Creek,"Raleigh, NC",,1,,
Steely Dan,7/7/1996,Walnut Creek,"Raleigh, NC",,2,,
Dave Matthews Band,8/30/1998,Walnut Creek,"Raleigh, NC",,,,
Dave Matthews Band,7/31/1999,Walnut Creek,"Raleigh, NC",,,,
Fastball,9/10/1999,Walnut Creek,"Raleigh, NC",,,,
Goo Goo Dolls,9/10/1999,Walnut Creek,"Raleigh, NC",,,,
Sugar Ray,9/10/1999,Walnut Creek,"Raleigh, NC",,,,
Blind Boys of Alabama,9/28/1999,Walnut Creek,"Raleigh, NC",,,,
Tom Petty,9/28/1999,Walnut Creek,"Raleigh, NC",,,,
Phish,6/25/2000,Walnut Creek,"Raleigh, NC",,first What's the Use,,
Steely Dan,7/21/2000,Walnut Creek,"Raleigh, NC",,3,,
Third Eye Blind,8/12/2000,Walnut Creek,"Raleigh, NC",,,,
Vertical Horizon,8/12/2000,Walnut Creek,"Raleigh, NC",,,,
String Cheese Incident,11/9/2000,Ritz,"Raleigh, NC",,,,
Keller Williams,11/11/2000,Peasant's Pub,"Greenville, NC","""+Curtis""",,,
Angie Aparo,11/16/2000,Cat's Cradle,"Carrboro, NC",,,,
Pat McGee Band,11/16/2000,Cat's Cradle,"Carrboro, NC",,,,
North Mississippi Allstars,2/2/2001,Brewery,"Raleigh, NC",,,,
Keller Williams,2/7/2001,UNCW Campus,"Wilmington, NC","""+Curtis""",,,
Keller Williams,2/10/2001,Peasant's Pub,"Greenville, NC","""+Curtis""",,,
Keller Williams,2/11/2001,Brewery,"Raleigh, NC","""+Curtis""",,,
